ordering,threshold,retention
hilbert,4,0.4711
hilbert,8,0.5981
hilbert,16,0.652
hilbert,32,0.7145
hilbert,64,0.7865
hilbert,128,0.8288
hilbert,256,0.8773
morton,4,0.5008
morton,8,0.5717
morton,16,0.6455
morton,32,0.7196
morton,64,0.7778
morton,128,0.831
morton,256,0.8881
raster,4,0.3325
raster,8,0.3325
raster,16,0.666
raster,32,0.666
raster,64,0.666
raster,128,0.666
raster,256,1.0
random,4,0.0015
random,8,0.0032
random,16,0.006
random,32,0.0139
random,64,0.0343
random,128,0.0676
random,256,0.1232
